close,datetime,high,low,open,volume
3774.186,2019/5/28 10:49,3778.387,3770.454,3772.436,86460
3772.443,2019/5/28 10:54,3774.367,3770.093,3773.955,44212
3767.439,2019/5/28 10:59,3774.121,3765.641,3768.382,71050
3771.353,2019/5/28 11:04,3773.276,3767.16,3771.768,46580
3762.527,2019/5/28 11:09,3773.853,3760.548,3769.363,67446
3752.689,2019/5/28 11:14,3762.489,3748.538,3754.264,279168
3751.486,2019/5/28 11:19,3753.414,3745.531,3750.305,154520
3749.969,2019/5/28 11:24,3752.628,3743.762,3748.319,110916
3758.308,2019/5/28 11:29,3760.29,3749.841,3755.679,106850
3764.784,2019/5/28 13:34,3768.309,3755.865,3765.862,114346
3763.717,2019/5/28 13:39,3767.109,3762.315,3764.473,40486
3764.346,2019/5/28 13:44,3771.311,3762.6,3765.232,60730
3767.297,2019/5/28 13:49,3769.984,3763.567,3768.18,33698
3769.928,2019/5/28 13:54,3769.984,3765.313,3768.183,26158
3767.475,2019/5/28 13:59,3770.162,3764.378,3766.485,29802
3768.944,2019/5/28 14:04,3769.125,3765.729,3766.674,17546
3764.21,2019/5/28 14:09,3769.181,3762.043,3763.266,29212
3767.305,2019/5/28 14:14,3768.654,3764.214,3766.73,21722
3770.233,2019/5/28 14:19,3773.91,3767.491,3771.17,58232
3776.071,2019/5/28 14:24,3776.252,3768.666,3772.973,41772
3768.207,2019/5/28 14:29,3776.066,3768.094,3769.243,41182
3767.579,2019/5/28 14:34,3769.324,3766.281,3767.218,26618
3772.475,2019/5/28 14:39,3774.065,3767.223,3773.826,29030
3769.123,2019/5/28 14:44,3772.829,3768.006,3768.995,20132
3761.845,2019/5/28 14:49,3769.932,3759.861,3760.617,73496
3762.354,2019/5/28 14:54,3765.644,3760.428,3762.356,47088
3772.107,2019/5/28 14:59,3773.049,3762.13,3770.493,79694
3753.629,2019/5/28 21:04,3764.861,3750.659,3756.45,147816
3749.096,2019/5/28 21:09,3753.676,3745.914,3751.516,135646
3742.036,2019/5/28 21:14,3749.978,3738.916,3743.023,131180
3746.064,2019/5/28 21:19,3748.141,3740.857,3746.118,46574
3745.127,2019/5/28 21:24,3747.107,3741.69,3745.367,37950
3745.527,2019/5/28 21:29,3745.527,3741.132,3742.85,41326
3745.07,2019/5/28 21:34,3747.805,3742.093,3742.147,37522
3744.509,2019/5/28 21:39,3747.372,3743.279,3747.372,28568
3742.192,2019/5/28 21:44,3746.999,3742.139,3744.313,35708
3747.298,2019/5/28 21:49,3748.803,3740.58,3745.881,55362
3749.055,2019/5/28 21:54,3752.431,3747.017,3749.752,48370
3748.008,2019/5/28 21:59,3751.434,3746.542,3751.434,26378
3748.194,2019/5/28 22:04,3749.694,3744.844,3748.571,28300
3747.44,2019/5/28 22:09,3749.981,3746.131,3747.067,16760
3744.337,2019/5/28 22:14,3748.753,3744.337,3745.459,20378
3748.185,2019/5/28 22:19,3748.935,3744.138,3746.258,18434
3749.691,2019/5/28 22:24,3751.622,3746.794,3749,28284
3748.058,2019/5/28 22:29,3752.372,3747.068,3748.063,17764
3748.518,2019/5/28 22:34,3748.808,3746.078,3747.955,10156
3745.469,2019/5/28 22:39,3748.705,3745.469,3746.272,10636
